query2: 22, r = Nan
query2: 48, r = Nan
query3: 48, r = Nan
query3: 50, r = Nan
query5: 49, r = Nan
query6: 28, r = Nan
query6: 49, r = Nan
query8: 28, r = Nan
query9: 48, r = Nan
query11: 23, r = Nan
query14: 48, r = Nan
query17: 28, r = Nan
query20: 4, r = Nan
query20: 48, r = Nan
query20: 49, r = Nan
query21: 22, r = Nan
query21: 23, r = Nan
query21: 48, r = Nan
query24: 36, r = Nan
